,x
1.3X2x21,5
1.3X30x21,5
1.3X31x21,1
1.3X32x21,1
1.3X3x21,3
1.3X4x21,2
1.3X5x21,6
1.3X6x21,5
1.3X7x21,2
1.3X8x21,3
1.3X9x21,3
1.3X10x22,5
1.3X11x22,5
1.3X12x22,5
1.3X14x22,5
1.3X16x22,5
1.3X17x22,2
1.3X18x22,5
1.3X19x22,5
1.3X20x22,5
1.3X21x22,4
1.3X22x22,5
1.3X23x22,5
1.3X24x22,5
1.3X25x22,5
1.3X26x22,2
1.3X27x22,5
1.3X28x22,5
1.3X29x22,5
1.3X2x22,5
1.3X30x22,5
1.3X31x22,5
1.3X32x22,5
1.3X3x22,5
1.3X4x22,4
1.3X5x22,5
1.3X6x22,3
1.3X7x22,5
1.3X8x22,3
1.3X9x22,5
1.3X28x23,5
1.3X29x23,5
1.3X30x23,5
1.3X10x2,1
1.3X11x2,1
1.3X12x2,0
1.3X13x2,6
1.3X14x2,4
1.3X15x2,2
1.3X16x2,3
1.3X17x2,0
1.3X18x2,5
1.3X19x2,0
1.3X20x2,7
1.3X21x2,0
1.3X22x2,0
1.3X23x2,5
1.3X24x2,0
1.3X25x2,7
1.3X26x2,6
1.3X27x2,7
1.3X28x2,7
1.3X29x2,1
1.3X30x2,5
1.3X31x2,5
1.3X32x2,7
1.3X6x2,2
1.3X7x2,1
1.3X8x2,1
1.3X9x2,1
1.3X10x3,2
1.3X11x3,5
1.3X12x3,2
1.3X13x3,0
1.3X14x3,3
1.3X16x3,0
1.3X17x3,5
1.3X18x3,7
1.3X19x3,1
1.3X20x3,0
1.3X21x3,5
1.3X22x3,0
1.3X23x3,7
1.3X24x3,6
1.3X25x3,7
1.3X26x3,0
1.3X27x3,7
1.3X28x3,1
1.3X29x3,5
1.3X30x3,5
1.3X31x3,7
1.3X32x3,7
1.3X6x3,5
1.3X7x3,1
1.3X8x3,2
1.3X9x3,2
1.3X10x4,2
1.3X11x4,3
1.3X12x4,5
1.3X13x4,2
1.3X14x4,1
1.3X15x4,0
1.3X16x4,0
1.3X17x4,5
1.3X18x4,6
1.3X19x4,0
1.3X20x4,0
1.3X21x4,1
1.3X22x4,7
1.3X24x4,0
1.3X25x4,7
1.3X26x4,7
1.3X27x4,1
1.3X28x4,7
1.3X29x4,1
1.3X30x4,7
1.3X31x4,7
1.3X32x4,7
1.3X6x4,5
1.3X7x4,1
1.3X8x4,2
1.3X9x4,5
1.3X10x5,5
1.3X11x5,3
1.3X12x5,5
1.3X13x5,3
1.3X14x5,1
1.3X15x5,3
1.3X16x5,3
1.3X17x5,5
1.3X18x5,1
1.3X19x5,5
1.3X20x5,1
1.3X21x5,1
1.3X22x5,0
1.3X23x5,1
1.3X24x5,7
1.3X25x5,0
1.3X26x5,1
1.3X27x5,1
1.3X28x5,7
1.3X29x5,0
1.3X30x5,7
1.3X31x5,7
1.3X32x5,7
1.3X6x5,4
1.3X7x5,1
1.3X8x5,2
1.3X9x5,2
1.3X10x6,5
1.3X11x6,5
1.3X12x6,2
1.3X13x6,3
1.3X14x6,3
1.3X15x6,3
1.3X16x6,3
1.3X17x6,4
1.3X18x6,1
1.3X19x6,3
1.3X20x6,2
1.3X21x6,7
1.3X22x6,7
1.3X23x6,0
1.3X24x6,7
1.3X25x6,0
1.3X26x6,7
1.3X27x6,7
1.3X28x6,7
1.3X29x6,7
1.3X2x6,5
1.3X30x6,7
1.3X31x6,7
1.3X32x6,7
1.3X4x6,5
1.3X5x6,1
1.3X6x6,1
1.3X7x6,3
1.3X8x6,5
1.3X9x6,1
