	Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6	Factor 7	Factor 8	Factor 9	Factor 10
24x8	479	1263	132	212	247	207	232	164	202	269
27x21	586	264	923	158	124	148	120	145	155	97
25x5	521	384	266	528	313	229	205	253	181	820
13x26	153	110	808	81	83	76	47	105	59	59
28x22	467	208	573	102	86	147	67	133	107	108
26x2	978	312	378	292	149	156	113	262	117	96
27x11	429	243	312	126	97	124	94	100	121	102
30x4	467	756	341	645	247	295	285	160	183	404
28x12	661	383	562	430	143	214	458	148	261	120
20x26	2438	222	517	211	288	6927	731	426	236	451
21x27	410	100	1542	103	90	103	1470	157	95	118
19x7	167	393	2400	201	178	241	191	503	350	3469
17x11	125	317	363	232	207	2954	157	344	183	140
22x16	172	284	202	162	137	240	124	227	5526	128
18x16	169	222	689	194	184	526	121	950	248	145
23x21	635	287	2131	258	210	199	176	394	248	283
21x5	215	2260	152	3097	483	571	283	307	276	202
32x3	1631	1180	1416	483	279	237	276	404	245	2092
22x10	251	1437	5143	319	424	264	418	250	301	391
15x25	786	254	1912	299	212	1163	243	591	458	341
24x15	276	504	323	574	280	340	215	226	5293	314
12x18	170	192	2283	185	313	1823	227	407	214	235
25x14	322	315	668	480	120	227	147	236	321	160
13x19	178	306	216	240	311	3749	151	404	132	166
26x13	1133	674	648	4091	377	1128	503	349	1074	326
29x16	5075	279	2947	494	310	367	757	463	257	291
30x15	862	501	1052	375	171	136	189	265	123	200
28x11	749	199	346	230	115	187	159	276	141	154
31x14	1290	392	631	238	228	344	381	302	3644	654
29x10	411	164	560	163	82	154	82	155	99	72
30x17	1980	208	1481	94	166	193	131	298	133	167
19x12	89	181	1619	146	121	165	131	356	149	100
17x12	227	398	371	219	186	1514	146	836	255	179
31x20	2095	176	700	143	121	136	163	226	188	131
20x15	106	120	656	110	51	195	67	299	123	104
18x11	173	470	923	213	188	540	124	564	119	128
23x18	317	384	3979	438	243	168	275	302	229	288
21x14	203	198	702	157	79	170	82	363	361	130
22x13	324	469	1086	171	187	123	176	639	311	227
23x8	450	1832	1977	251	268	246	279	497	243	511
24x22	391	121	1019	118	97	135	71	111	102	80
25x23	420	220	1503	189	147	107	148	219	83	173
15x12	80	57	144	81	76	63	40	122	33	31
26x20	736	214	1955	231	115	170	227	126	136	189
28x2	2704	445	523	399	642	267	288	583	364	826
29x3	2427	1056	477	1533	522	443	513	706	440	788
20x22	168	4238	243	188	224	801	232	155	547	105
21x23	614	392	1766	253	330	407	206	1152	275	160
32x17	1344	375	4929	219	419	295	282	189	417	489
22x4	1077	13822	1290	1823	590	348	624	484	311	1059
18x28	170	64	372	55	69	83	88	123	35	76
14x16	234	203	883	193	8593	1601	143	547	153	219
25x24	712	135	752	137	68	89	96	152	83	101
15x21	130	120	548	109	94	253	75	940	76	82
24x3	959	347	1071	4984	486	322	363	562	364	1026
25x2	4413	726	253	1342	1083	418	378	609	288	273
30x3	342	149	301	206	109	99	179	171	125	374
19x26	874	214	1141	124	172	414	229	267	141	179
16x21	239	171	181	131	159	212	182	4643	137	186
21x16	110	105	332	86	62	108	44	280	61	71
17x16	170	210	245	224	272	5273	261	170	166	130
18x23	218	582	662	106	131	313	132	203	135	268
32x14	704	252	353	214	146	252	224	392	657	5597
15x18	157	211	145	211	262	5162	179	1447	217	200
24x10	281	800	558	267	141	180	144	394	171	245
12x21	293	213	1040	229	2438	542	152	825	174	157
27x23	1117	335	1670	208	175	159	226	177	183	119
25x11	466	249	666	164	77	101	81	121	81	120
13x24	178	163	1076	133	127	187	99	376	117	118
28x16	787	442	1722	288	245	262	1684	148	273	259
29x21	536	329	939	190	109	154	232	146	121	233
27x13	384	253	173	240	93	124	290	96	107	81
30x10	1554	187	692	262	117	191	122	171	177	129
28x14	776	321	3036	289	190	179	2509	260	209	194
31x3	3953	918	687	283	251	317	224	402	225	1046
29x15	2468	297	692	190	180	244	264	305	137	191
16x12	191	298	1846	226	194	407	167	1874	178	182
21x25	581	199	2465	205	392	246	339	412	157	409
19x9	230	183	461	160	172	145	107	2878	153	159
22x22	582	464	3213	175	240	169	263	236	195	221
20x2	155	607	245	159	79	107	124	134	101	141
18x14	332	386	910	333	248	3208	201	670	250	204
23x23	544	161	2139	162	152	209	158	572	299	331
21x3	1161	1403	781	2214	338	354	412	4434	381	491
32x5	1149	210	402	310	149	189	137	323	128	195
22x8	138	364	1643	124	129	123	66	309	128	154
15x27	89	53	82	69	40	72	69	59	31	76
24x17	411	269	939	193	86	119	95	209	187	141
25x12	2483	522	1631	342	171	159	184	469	277	283
13x17	211	266	764	272	386	1356	180	1648	173	232
26x11	235	224	957	144	114	127	125	170	83	115
27x2	862	497	341	339	165	251	166	410	256	184
30x13	716	476	355	386	174	229	245	338	347	148
28x5	308	240	321	2788	160	149	129	204	156	227
31x8	252	164	360	162	54	79	113	106	61	130
29x8	2460	421	926	1007	321	242	311	280	212	464
19x14	144	179	1166	125	141	347	142	535	160	121
20x9	182	662	1210	198	254	310	228	2299	252	372
18x9	155	245	1128	239	176	242	138	1972	200	184
16x25	1484	464	468	259	277	4075	365	649	408	303
21x12	150	608	1557	142	186	223	145	377	204	170
22x3	639	3746	886	993	385	226	516	354	248	342
23x10	198	1522	428	196	163	169	133	291	296	294
24x24	524	120	1060	82	69	104	116	134	71	125
14x15	223	351	267	194	557	2505	176	1007	215	196
10x23	41	26	145	20	9	30	16	27	16	27
25x21	1148	332	1841	133	163	145	114	290	168	162
15x14	246	236	427	205	138	395	145	1674	134	111
26x18	1005	362	1419	309	155	175	169	240	191	208
19x23	253	4412	651	323	324	1279	335	470	385	294
20x16	181	255	1960	133	134	206	109	239	169	163
16x16	103	195	109	259	150	2893	107	202	100	66
21x21	287	609	3077	204	207	296	374	488	388	159
32x19	1118	119	1075	113	159	106	109	151	185	96
22x26	570	117	1839	133	127	207	1113	202	173	259
18x26	592	166	1331	198	144	349	174	164	201	319
23x3	761	829	515	18031	382	363	478	402	292	464
32x9	1570	1166	3014	534	242	279	534	262	358	312
14x22	144	225	722	259	216	317	157	1714	189	197
15x23	191	257	435	208	132	226	118	670	146	75
24x5	338	322	1067	285	197	277	188	312	155	3550
12x24	144	261	2123	166	100	462	114	319	144	150
26x7	3179	592	762	583	564	368	249	239	298	320
19x28	489	225	1688	166	202	177	255	176	139	208
31x4	2879	706	1336	1027	250	410	319	364	227	362
16x23	157	304	261	251	173	494	245	407	212	101
17x22	305	820	1938	296	694	2495	334	904	550	338
20x5	315	5308	229	588	237	253	180	225	194	215
18x21	190	947	324	238	304	4278	260	468	580	189
23x24	861	154	1412	172	172	198	236	286	148	471
14x25	375	237	1684	181	105	270	169	258	214	131
10x25	43	36	65	17	18	26	21	42	11	25
11x20	57	51	158	37	48	83	23	76	34	39
24x12	426	413	748	268	94	137	128	187	159	126
12x23	188	169	675	138	118	203	117	961	120	136
25x9	134	62	89	34	41	31	25	65	41	28
13x22	86	167	684	118	108	180	80	468	86	118
28x18	1400	246	3112	239	275	150	400	266	203	273
26x14	872	679	454	1016	297	650	496	224	413	218
29x19	743	230	1786	245	169	173	286	211	123	229
27x15	1539	209	706	352	174	182	447	577	329	256
30x8	506	302	386	308	92	99	101	200	80	180
28x8	505	139	308	238	88	113	63	66	58	67
31x13	1153	170	215	187	69	86	70	182	157	105
29x13	662	216	845	460	121	161	263	396	349	215
16x14	105	177	446	123	103	605	133	423	209	101
30x18	1105	361	5395	508	221	280	259	280	151	330
19x11	160	150	1339	240	147	202	183	844	130	122
17x15	290	169	521	107	117	725	102	354	145	103
22x20	380	667	4424	410	289	174	292	369	278	269
20x12	138	188	2757	138	170	216	137	500	136	160
18x12	138	249	394	153	126	406	116	561	132	121
23x17	290	282	808	200	358	281	187	304	2536	198
32x7	188	123	313	194	105	75	93	142	81	63
22x14	148	214	395	185	155	208	157	286	5458	195
23x15	367	303	1020	280	263	284	209	326	8863	327
24x19	322	202	825	151	156	139	96	173	130	129
25x18	520	316	894	279	172	209	118	285	198	614
13x15	51	47	75	27	47	111	37	74	26	21
26x9	289	285	362	142	142	188	137	169	98	138
27x4	656	228	698	1554	179	215	181	229	212	429
28x7	449	211	269	711	136	134	145	185	151	124
31x10	604	158	909	174	84	129	93	144	142	149
29x6	654	421	660	5555	293	230	246	320	309	678
30x21	572	187	1589	202	200	128	215	160	166	211
19x16	236	257	271	262	361	1922	167	313	145	167
31x16	1242	163	591	104	105	106	98	157	93	103
20x11	150	160	1232	193	159	163	144	646	148	245
